Taxa	Country
MT658264/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658504/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT798592/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT776904/hcov/SARS-COR/EGY/2020-06-01	Egypt
MT614596/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611968/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT624728/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611443/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT800016/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT614601/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT499215/hcov/SARS-COR/TUN/2020-03-18	Tunisia
MT559038/hcov/SARS-COR/TUN/2020-03-24	Tunisia
MT517443/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510702/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510699/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT627393/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT731285/hcov/SARS-COR/MRC/2020-04-13	Morocco
MT499218/hcov/SARS-COR/TUN/2020-04-01	Tunisia
MT499220/hcov/SARS-COR/TUN/2020-03-31	Tunisia
MT731468/hcov/SARS-COR/MRC/2020-03-30	Morocco
MT731746/hcov/SARS-COR/MRC/2020-03-30	Morocco
MT731764/hcov/SARS-COR/MRC/2020-04-01	Morocco
MT733120/hcov/SARS-COR/MRC/2020-04-01	Morocco
MT658501/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT511059/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT800023/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT510690/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510692/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510691/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510700/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510695/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510696/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510703/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT627389/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT624733/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT627390/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT627406/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT627396/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611441/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT499219/hcov/SARS-COR/TUN/2020-03-27	Tunisia
MT627404/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611538/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658507/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT499217/hcov/SARS-COR/TUN/2020-03-30	Tunisia
MT627394/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT510697/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT611442/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611450/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT511065/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT627405/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT559037/hcov/SARS-COR/TUN/2020-03-21	Tunisia
MT731292/hcov/SARS-COR/MRC/2020-04-13	Morocco
MT800014/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT661524/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611448/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT814698/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT658508/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT510701/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT511083/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT800035/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT814636/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT800037/hcov/SARS-COR/EGY/2020-07-19	Egypt
MT510694/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT510698/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT627391/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT627392/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT511084/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT611530/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT513758/hcov/SARS-COR/MRC/2020-04-23	Morocco
MT324062/hcov/SARS-COR/ZAF/2020-03-07	S. Africa
MT731327/hcov/SARS-COR/MRC/2020-03-30	Morocco
MT731673/hcov/SARS-COR/MRC/2020-04-03	Morocco
MT614348/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614356/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658505/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT510693/hcov/SARS-COR/EGY/2020-05-02	Egypt
MT627395/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT790522/hcov/SARS-COR/ZMB/2020-03-16	ZMB
MT611440/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614349/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614600/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658503/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614598/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614597/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611449/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658509/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658500/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614599/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611444/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT568645/hcov/SARS-COR/MRC/2020-05-15	Morocco
MT576584/hcov/SARS-COR/NIG/2020-03	Nigeria
MT611527/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT609918/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT658502/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT610913/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT648830/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611451/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611536/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611537/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT611539/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614595/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614357/hcov/SARS-COR/EGY/2020-06-02	Egypt
MT614347/hcov/SARS-COR/EGY/2020-06-02	Egypt
